idx,date,area,dayAvgRhm,dayAvgTa,dayAvgWs,dayMaxTa,dayMinRhm,daySumRn,daySumSs,paCropName,paCropSpeId
1,2017-01-28,평택,56,0,1,7,16,0,0,무,PA130401
2,2017-01-16,평택,59,-4,1,2,23,0,0,무,PA130401
3,,,0,0,0,0,0,0,0,,
4,2017-01-11,평택,63,-3,1,1,31,0,0,무,PA130401
5,2017-01-03,평택,82,2,1,7,58,0,0,무,PA130401
6,2017-01-07,평택,78,4,1,10,52,0,0,무,PA130401
7,2017-01-24,평택,70,-7,1,-1,43,0,0,무,PA130401
8,2017-01-14,평택,38,-6,3,-3,21,0,0,무,PA130401
9,2017-01-08,평택,63,7,2,12,43,0,0,무,PA130401
10,2017-01-05,평택,68,4,1,9,46,0,0,무,PA130401
11,2017-01-26,평택,71,-1,1,4,48,0,0,무,PA130401
12,,,0,0,0,0,0,0,0,,
13,2017-01-27,평택,58,-1,3,5,32,3,0,무,PA130401
14,2017-01-17,평택,65,-3,1,2,29,0,0,무,PA130401
15,2017-01-31,평택,71,-5,1,0,35,0,0,무,PA130401
16,,,0,0,0,0,0,0,0,,
17,2017-01-18,평택,82,0,1,4,52,0,0,무,PA130401
18,2017-01-21,평택,88,-3,1,0,66,0,0,무,PA130401
19,2017-01-20,평택,83,-3,3,0,61,2,0,무,PA130401
20,2017-01-06,평택,66,6,1,11,46,0,0,무,PA130401
21,2017-01-29,평택,79,1,1,3,45,5,0,무,PA130401
22,2017-01-22,평택,58,-6,3,-1,51,0,0,무,PA130401
23,2017-01-09,평택,70,3,3,5,52,0,0,무,PA130401
24,2017-01-30,평택,75,-3,3,0,53,0,0,무,PA130401
25,2017-01-19,평택,78,0,1,3,35,0,0,무,PA130401
26,2017-01-10,평택,58,-1,2,2,41,0,0,무,PA130401
27,2017-01-04,평택,82,3,1,9,44,0,0,무,PA130401
28,2017-01-23,평택,70,-8,2,-4,44,0,0,무,PA130401
29,2017-01-12,평택,68,0,2,2,37,1,0,무,PA130401
30,2017-01-02,평택,90,5,2,10,67,0,0,무,PA130401
31,2017-02-16,평택,71,6,1,14,38,0,0,무,PA130401
32,,,0,0,0,0,0,0,0,,
33,,,0,0,0,0,0,0,0,,
34,,,0,0,0,0,0,0,0,,
35,,,0,0,0,0,0,0,0,,
36,,,0,0,0,0,0,0,0,,
37,,,0,0,0,0,0,0,0,,
38,2017-02-24,평택,58,0,2,4,29,0,0,무,PA130401
39,2017-02-08,평택,62,-1,2,2,31,0,0,무,PA130401
40,2017-02-23,평택,61,0,4,2,37,0,0,무,PA130401
41,2017-02-05,평택,83,2,2,4,54,0,0,무,PA130401
42,2017-02-13,평택,84,0,1,6,42,0,0,무,PA130401
43,2017-02-01,평택,57,-3,2,1,29,0,0,무,PA130401
44,2017-02-20,평택,62,0,4,6,42,5,0,무,PA130401
45,2017-02-02,평택,59,-2,2,3,33,0,0,무,PA130401
46,2017-02-11,평택,52,-3,3,0,37,0,0,무,PA130401
47,2017-02-12,평택,66,-1,2,3,38,0,0,무,PA130401
48,2017-02-28,평택,54,4,1,12,27,0,0,무,PA130401
49,2017-02-07,평택,64,-1,1,4,34,0,0,무,PA130401
50,2017-02-03,평택,74,1,1,6,35,0,0,무,PA130401
51,2017-02-26,평택,70,3,1,9,27,0,0,무,PA130401
52,2017-02-27,평택,62,2,1,9,25,0,0,무,PA130401
53,2017-02-15,평택,64,1,1,9,30,0,0,무,PA130401
54,2017-02-09,평택,54,-3,4,-1,38,0,0,무,PA130401
55,2017-02-06,평택,60,0,3,2,42,0,0,무,PA130401
56,2017-02-22,평택,83,2,2,3,45,11,0,무,PA130401
57,,,0,0,0,0,0,0,0,,
58,2017-02-04,평택,76,1,1,6,40,0,0,무,PA130401
59,2017-02-14,평택,70,0,1,5,30,0,0,무,PA130401
60,2017-02-17,평택,68,2,4,11,37,3,0,무,PA130401
61,2017-02-21,평택,53,0,1,7,25,0,0,무,PA130401
62,2017-03-27,평택,73,7,2,11,39,0,0,무,PA130401
63,2017-03-06,평택,49,1,4,4,25,0,0,무,PA130401
64,2017-03-13,평택,70,5,2,11,35,0,0,무,PA130401
65,2017-03-25,평택,53,7,2,12,18,0,0,무,PA130401
66,2017-03-14,평택,61,4,2,11,28,0,0,무,PA130401
67,2017-03-04,평택,70,4,1,12,21,0,0,무,PA130401
68,2017-03-05,평택,79,5,2,10,42,0,0,무,PA130401
69,2017-03-01,평택,72,5,1,12,29,6,0,무,PA130401
70,2017-03-24,평택,59,7,1,15,23,0,0,무,PA130401
71,2017-03-09,평택,60,4,3,11,25,0,0,무,PA130401
72,,,0,0,0,0,0,0,0,,
73,2017-03-12,평택,62,7,2,14,24,0,0,무,PA130401
74,2017-03-31,평택,80,8,1,14,51,0,0,무,PA130401
75,2017-03-17,평택,59,6,1,15,23,0,0,무,PA130401
76,2017-03-26,평택,66,6,2,11,27,0,0,무,PA130401
77,2017-03-10,평택,50,4,1,12,17,0,0,무,PA130401
78,2017-03-11,평택,49,5,1,16,13,0,0,무,PA130401
79,2017-03-29,평택,57,8,2,15,23,0,0,무,PA130401
80,,,0,0,0,0,0,0,0,,
81,,,0,0,0,0,0,0,0,,
82,2017-03-22,평택,55,6,2,13,22,0,0,무,PA130401
83,2017-03-30,평택,0,0,0,0,0,0,0,무,PA130401
84,2017-03-07,평택,46,0,4,2,27,0,0,무,PA130401
85,2017-03-03,평택,63,3,1,11,32,0,0,무,PA130401
86,,,0,0,0,0,0,0,0,,
87,2017-03-18,평택,46,7,1,16,13,0,0,무,PA130401
88,2017-03-16,평택,60,4,1,12,15,0,0,무,PA130401
89,2017-03-02,평택,74,1,3,3,48,1,0,무,PA130401
90,2017-03-19,평택,53,8,1,20,15,0,0,무,PA130401
91,2017-03-21,평택,59,7,3,12,33,0,0,무,PA130401
92,2017-03-20,평택,58,9,1,15,31,0,0,무,PA130401
93,,,0,0,0,0,0,0,0,,
94,2017-04-02,평택,61,8,2,15,23,0,0,무,PA130401
95,,,0,0,0,0,0,0,0,,
96,,,0,0,0,0,0,0,0,,
97,2017-04-15,평택,65,17,2,25,27,0,0,무,PA130401
98,,,0,0,0,0,0,0,0,,
99,,,0,0,0,0,0,0,0,,
100,2017-04-17,평택,87,13,1,17,57,9,0,무,PA130401
101,2017-04-27,평택,51,13,3,19,20,0,0,무,PA130401
102,2017-04-28,평택,58,14,2,22,26,0,0,무,PA130401
103,2017-04-07,평택,81,13,1,23,44,0,0,무,PA130401
104,2017-04-05,평택,73,12,1,15,33,11,0,무,PA130401
105,2017-04-25,평택,65,15,2,23,38,0,0,무,PA130401
106,2017-04-29,평택,52,16,2,25,16,0,0,무,PA130401
107,2017-04-08,평택,90,10,2,17,60,0,0,무,PA130401
108,2017-04-20,평택,56,12,1,17,37,0,0,무,PA130401
109,2017-04-23,평택,49,14,2,23,21,0,0,무,PA130401
110,2017-04-01,평택,72,9,2,14,36,0,0,무,PA130401
111,2017-04-03,평택,47,10,2,19,17,0,0,무,PA130401
112,,,0,0,0,0,0,0,0,,
113,2017-04-14,평택,57,14,3,20,31,0,0,무,PA130401
114,2017-04-16,평택,57,18,1,26,19,0,0,무,PA130401
115,2017-04-22,평택,62,13,2,21,24,0,0,무,PA130401
116,2017-04-12,평택,23,11,3,15,13,0,0,무,PA130401
117,2017-04-26,평택,50,14,3,21,13,0,0,무,PA130401
118,2017-04-18,평택,89,11,3,18,64,3,0,무,PA130401
119,2017-04-10,평택,26,16,3,22,15,0,0,무,PA130401
120,2017-04-13,평택,55,12,2,20,23,0,0,무,PA130401
121,2017-04-09,평택,69,13,2,21,40,0,0,무,PA130401
122,2017-04-30,평택,60,19,2,28,28,0,0,무,PA130401
123,2017-04-19,평택,53,12,3,18,24,0,0,무,PA130401
124,2017-05-12,평택,78,20,1,24,57,0,0,무,PA130401
125,2017-05-16,평택,68,16,1,22,41,0,0,무,PA130401
126,2017-05-02,평택,55,19,1,27,29,0,0,무,PA130401
127,,,0,0,0,0,0,0,0,,
128,,,0,0,0,0,0,0,0,,
129,2017-05-29,평택,70,22,2,30,42,0,0,무,PA130401
130,,,0,0,0,0,0,0,0,,
131,,,0,0,0,0,0,0,0,,
132,2017-05-09,평택,75,16,2,24,40,5,0,무,PA130401
133,2017-05-03,평택,56,19,1,30,15,0,0,무,PA130401
134,2017-05-20,평택,52,19,2,26,28,0,0,무,PA130401
135,,,0,0,0,0,0,0,0,,
136,2017-05-11,평택,80,18,1,26,52,0,0,무,PA130401
137,2017-05-08,평택,55,17,1,23,30,0,0,무,PA130401
138,2017-05-01,평택,67,18,1,29,21,0,0,무,PA130401
139,2017-05-31,평택,65,22,1,29,38,0,0,무,PA130401
140,2017-05-13,평택,84,17,2,25,51,1,0,무,PA130401
141,2017-05-15,평택,68,15,3,20,43,0,0,무,PA130401
142,2017-05-28,평택,63,20,2,27,32,0,0,무,PA130401
143,2017-05-17,평택,64,17,2,25,34,0,0,무,PA130401
144,2017-05-27,평택,56,18,2,26,27,0,0,무,PA130401
145,2017-05-19,평택,54,20,2,29,27,0,0,무,PA130401
146,2017-05-26,평택,48,16,3,21,34,0,0,무,PA130401
147,2017-05-06,평택,38,15,3,21,16,0,0,무,PA130401
148,2017-05-21,평택,60,20,2,27,26,0,0,무,PA130401
149,2017-05-10,평택,85,16,2,20,58,4,0,무,PA130401
150,2017-05-04,평택,59,20,1,28,34,0,0,무,PA130401
151,2017-05-07,평택,55,16,2,23,17,0,0,무,PA130401
152,2017-05-30,평택,50,23,1,31,18,0,0,무,PA130401
153,2017-05-25,평택,62,18,3,25,27,0,0,무,PA130401
154,2017-05-24,평택,76,20,2,25,55,3,0,무,PA130401
155,,,0,0,0,0,0,0,0,,
156,,,0,0,0,0,0,0,0,,
157,,,0,0,0,0,0,0,0,,
158,,,0,0,0,0,0,0,0,,
159,,,0,0,0,0,0,0,0,,
160,2017-06-14,평택,74,21,2,26,38,0,0,무,PA130401
161,2017-06-08,평택,78,20,2,26,44,0,0,무,PA130401
162,2017-06-26,평택,77,24,1,31,46,0,0,무,PA130401
163,2017-06-29,평택,77,25,1,32,42,0,0,무,PA130401
164,,,0,0,0,0,0,0,0,,
165,2017-06-02,평택,56,19,2,25,25,0,0,무,PA130401
166,2017-06-03,평택,55,19,3,24,35,0,0,무,PA130401
167,2017-06-10,평택,58,22,2,27,20,0,0,무,PA130401
168,2017-06-01,평택,74,21,3,26,51,0,0,무,PA130401
169,2017-06-19,평택,65,23,1,32,30,0,0,무,PA130401
170,2017-06-05,평택,47,22,1,31,19,0,0,무,PA130401
171,2017-06-21,평택,66,23,2,30,42,0,0,무,PA130401
172,2017-06-11,평택,53,21,2,29,21,0,0,무,PA130401
173,2017-06-16,평택,63,24,2,33,34,0,0,무,PA130401
174,2017-06-04,평택,55,20,2,27,26,0,0,무,PA130401
175,2017-06-06,평택,67,18,2,23,39,2,0,무,PA130401
176,2017-06-30,평택,80,25,2,31,46,0,0,무,PA130401
177,,,0,0,0,0,0,0,0,,
178,2017-06-15,평택,72,22,2,30,35,0,0,무,PA130401
179,2017-06-20,평택,60,24,1,33,28,0,0,무,PA130401
180,2017-06-07,평택,98,17,2,19,91,1,0,무,PA130401
181,2017-06-28,평택,76,25,1,32,44,0,0,무,PA130401
182,2017-06-09,평택,77,21,2,28,37,0,0,무,PA130401
183,2017-06-12,평택,48,22,2,28,33,0,0,무,PA130401
184,2017-06-25,평택,78,23,1,30,46,7,0,무,PA130401
185,2017-06-13,평택,74,20,2,25,35,0,0,무,PA130401
186,,,0,0,0,0,0,0,0,,
187,2017-07-02,평택,95,26,1,30,78,25,0,무,PA130401
188,,,0,0,0,0,0,0,0,,
189,2017-07-13,평택,87,27,1,32,59,0,0,무,PA130401
190,2017-07-09,평택,93,26,1,32,69,18,0,무,PA130401
191,,,0,0,0,0,0,0,0,,
192,2017-07-01,평택,92,24,0,27,66,1,0,무,PA130401
193,2017-07-22,평택,89,29,1,33,68,0,0,무,PA130401
194,2017-07-07,평택,93,26,1,29,0,6,0,무,PA130401
195,2017-07-31,평택,99,23,1,26,81,93,0,무,PA130401
196,2017-07-19,평택,87,27,1,33,57,0,0,무,PA130401
197,,,0,0,0,0,0,0,0,,
198,2017-07-08,평택,97,25,1,29,82,27,0,무,PA130401
199,2017-07-30,평택,77,27,1,32,56,0,0,무,PA130401
200,,,0,0,0,0,0,0,0,,
201,2017-07-20,평택,82,29,1,34,57,0,0,무,PA130401
202,2017-07-29,평택,83,27,2,31,65,0,0,무,PA130401
203,2017-07-06,평택,88,26,1,35,49,1,0,무,PA130401
204,2017-07-04,평택,88,26,2,31,60,32,0,무,PA130401
205,2017-07-05,평택,78,27,1,33,42,0,0,무,PA130401
206,2017-07-03,평택,97,25,3,27,89,15,0,무,PA130401
207,2017-07-28,평택,99,25,0,27,88,21,0,무,PA130401
208,2017-07-24,평택,98,26,1,28,87,14,0,무,PA130401
209,2017-07-14,평택,85,28,1,33,57,0,0,무,PA130401
210,2017-07-21,평택,82,29,1,33,65,0,0,무,PA130401
211,2017-07-18,평택,91,26,1,30,70,0,0,무,PA130401
212,2017-07-11,평택,93,26,1,31,65,5,0,무,PA130401
213,2017-07-23,평택,95,27,1,30,84,2,0,무,PA130401
214,2017-07-15,평택,96,25,1,28,84,7,0,무,PA130401
